method,plant_id,actual,rater,estimate,order_id
Version_1,63,13,3,10,22
Version_1,64,19,3,10,30
Version_1,65,100,3,100,70
Version_1,66,100,3,100,71
Version_1,67,100,3,100,72
Version_1,68,100,3,100,73
Version_1,69,100,3,100,74
Version_1,70,100,3,100,75
Version_1,71,56,3,30,44
Version_1,72,20,3,10,32
Version_1,73,97,3,90,49
Version_1,74,5,3,0,4
Version_1,75,39,3,30,40
Version_1,1,9,4,10,12
Version_1,2,8,4,5,9
Version_1,3,9,4,0,13
Version_1,4,17,4,35,26
Version_1,5,12,4,30,18
Version_1,6,44,4,35,42
Version_1,7,23,4,30,34
Version_1,8,13,4,20,20
Version_1,9,14,4,0,23
Version_1,10,28,4,5,35
Version_1,11,42,4,15,41
Version_1,12,9,4,5,14
Version_1,13,7,4,0,6
Version_1,14,10,4,20,16
Version_1,15,33,4,50,36
Version_1,16,100,4,100,50
Version_1,17,100,4,100,51
Version_1,18,100,4,100,52
Version_1,19,100,4,100,53
Version_1,20,100,4,100,54
Version_1,21,100,4,100,55
Version_1,22,100,4,100,56
Version_1,23,100,4,100,57
Version_1,24,100,4,100,58
Version_1,25,100,4,100,59
Version_1,26,13,4,45,21
Version_1,27,14,4,15,24
Version_1,28,12,4,10,19
Version_1,29,9,4,0,15
Version_1,30,16,4,45,25
Version_1,31,33,4,65,37
Version_1,32,22,4,55,33
Version_1,33,100,4,90,60
Version_1,34,11,4,30,17
Version_1,35,88,4,85,47
Version_1,36,100,4,100,61
Version_1,37,50,4,75,43
Version_1,38,100,4,100,62
Version_1,39,8,4,30,10
Version_1,40,37,4,65,39
Version_1,41,17,4,40,27
Version_1,42,4,4,0,2
Version_1,43,8,4,10,11
Version_1,44,34,4,55,38
Version_1,45,77,4,70,45
Version_1,46,77,4,75,46
Version_1,47,100,4,100,63
Version_1,48,100,4,100,64
Version_1,49,100,4,100,65
Version_1,50,100,4,100,66
Version_1,51,7,4,30,7
Version_1,52,7,4,10,8
Version_1,53,4,4,10,3
Version_1,54,17,4,50,28
Version_1,55,100,4,100,67
Version_1,56,97,4,95,48
Version_1,57,17,4,45,29
Version_1,58,100,4,100,68
Version_1,59,100,4,100,69
Version_1,60,3,4,5,1
Version_1,61,6,4,15,5
Version_1,62,20,4,40,31
Version_1,63,13,4,10,22
Version_1,64,19,4,45,30
Version_1,65,100,4,100,70
Version_1,66,100,4,100,71
Version_1,67,100,4,100,72
Version_1,68,100,4,100,73
Version_1,69,100,4,100,74
Version_1,70,100,4,100,75
Version_1,71,56,4,80,44
